단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
5,5,FIVE,,,생략
12,12,TWELVE,,,생략
13,13,THIRTEEN,,,생략
14,14,FOURTEEN,,,생략
15,15,FIFTEEN,,,생략
16,16,SIXTEEN,,,생략
17,17,SEVENTEEN,,,생략
18,18,EIGHTEEN,,,생략
19,19,NINETEEN,,,생략
20,20,TWENTY,,,생략
21,21,TWENTY-ONE,,,생략
22,22,TWENTY-TWO,,,생략
23,23,TWENTY-THREE,,,생략
24,24,TWENTY-FOUR,,,생략
25,25,TWENTY-FIVE,,,생략
26,26,TWENTY-SIX,,,생략
27,27,TWENTY-SEVEN,,,생략
28,28,TWENTY-EIGHT,,,생략
29,29,TWENTY-NINE,,,생략
30,30,THIRTY,,,생략
50,50,FIFTY,,,생략
100,100,HUNDRED,,,생략
1000,1000,THOUSAND,,,생략
0,0,ZERO,,,생략
0년도,YEAR0,0 YEAR,,,생략
0년차,ORDYR0,ZERO ORDER BY YEAR,,,생략
1,1,ONE,,,생략
10,10,TEN,,,생략
105밀리미터,MM105,105 MILLIMETER,,,생략
106밀리미터,MM106,106 MILLIMETER,,,생략
10급,CLS10,TENTH CLASS,,,생략
10년,YY10,10 YEAR,,,생략
10단계,STP10,TENTH STEP,,,생략
10분기,QTR10,TENTH QUARTER,,,생략
10사람,HUMN10,10 HUMAN,,,생략
10월,OCT,OCTOBER,OCT,,생략
10종보급품,CS10,CLASS 10 SUPPLIES,"10종,10품종",,생략
10차,TETH,TENTH,,,생략
10평,PYNG10,10 PYEONG,,,생략
11,11,ELEVEN,,,생략
11단계,STP11,ELEVENTH STEP,,,생략
11분기,QTR11,ELEVENTH QUARTER,,,생략
11사람,HUMN11,11 HUMAN,,,생략
11월,NOV,NOVEMBER,NOV,,생략
11차,ELTH,ELEVENTH,,,생략
11평,PYNG11,11 PYEONG,,,생략
12단계,STP12,TWELFTH STEP,,,생략
12분기,QTR12,TWELFTH QUARTER,,,생략
12세,YRS12,12 YEARS,,,생략
12시간,TIME12,12 TIME,,,생략
12월,DEC,DECEMBER,DEC,,생략
130밀리미터,MM130,130 MILLIMETER,,,생략
13단계,STP13,THIRTEENTH STEP,,,생략
13분기,QTR13,THIRTEENTH QUARTER,,,생략
13품종,13PD,13 PRODUCT CATEGORY,,,생략
14단계,STP14,FOURTEENTH STEP,,,생략
14분기,QTR14,FOURTEENTH QUARTER,,,생략
1500미터달리기,RUN1500,1500 METER RUN,"1500M달리기,달리기1500,달리기1500M,달리기1500미터",,생략
154킬로볼트,KV154,154 KILOVOLT,,,생략
155밀리미터,MM155,155 MILLIMETER,,,생략
15단계,STP15,FIFTEENTH STEP,,,생략
15분기,QTR15,FIFTEENTH QUARTER,,,생략
15평,PYNG15,15 PYEONG,,,생략
16단계,STP16,SIXTEENTH STEP,,,생략
16분기,QTR16,SIXTEENTH QUARTER,,,생략
16평,PYNG16,16 PYEONG,,,생략
175밀리미터,MM175,175 MILLIMETER,,,생략
17단계,STP17,SEVENTEENTH STEP,,,생략
17분기,QTR17,SEVENTEENTH QUARTER,,,생략
18분기,QTR18,EIGHTEENTH QUARTER,,,생략
18품목분류,18PD,18 PRODUCT TYPE,,,생략
19분기,QTR19,NINETEENTH,,,생략
1군,FROKAR,THE FIRST REPUBLIC OF KOREA ARMY AREA,,,생략
1군수지원사령부,LSCMD1,1 LOGISTICS SUPPORT COMMAND,,,생략
1급,CLS1,FIRST CLASS,,,생략
1년,YY1,1 YEAR,,,생략
1년도,YEAR1,1 YEAR,,,생략
1년차,ORDYR1,FIRST ORDER BY YEAR,,,생략
1단계,STP1,FIRST STEP,,,생략
1등급,GRD1,FIRST GRADE,,,생략
1분기,QTR1,FIRST QUARTER OF A YEAR,"1/4분기,분기1",,생략
1사람,HUMN1,1 HUMAN,,,생략
1시간,TIME1,1 TIME,,,생략
1월,JAN,JANUARY,JAN,,생략
1인,ONEPSN,ONE PERSONS,,,생략
1인당,PERPSN1,1 PER PERSON,,,생략
1종보급품,CS1,CLASS 1 SUPPLIES,1종,,생략
1주,WK1,FIRST WEEK,,,생략
1지대,ZONE1,1 ZONE,,,생략
1지망,FSTWISH,FIRST WISH,,,생략
1차,FST,FIRST,"첫번째,첫째,첫,일차",,생략
1차평정자,FSTEVPSN,FIRST EVALUATION PERSON,,,생략
1층,FLR1,FIRST FLOOR,,,생략
1평,PYNG1,1 PYEONG,,,생략
1학기,SMSTR1,FIRST SEMESTER,,,생략
1회,ONCE,ONCE,일회,,생략
2,2,TWO,,,생략
2.5톤카고,TC25,2.5 TON CARGO,,,생략
20분기,QTR20,TWENTIETH,,,생략
20세,YRS20,20 YEARS,,,생략
20인,TWENTYPSN,TWENTY PERSONS,,,생략
20평,PYNG20,20 PYEONG,,,생략
24시간,TIME24,24 TIME,,,생략
2525C,MS2525C,MILITARY STANDARD 2525C,,,생략
2525C병종코드,MS2525CASPCD,MILSTD2525C ARMS SPECIALTIES CODE,,분류어,생략
2525C부대규모코드,MS2525CUSCD,MILSTD2525C UNIT SCALE CODE,,분류어,생략
2525C상태코드,MS2525CSACD,MILITARY STANDARD 2525C STATE CODE,,분류어,생략
2525C전장코드,MS2525CBFCD,MILITARY STANDARD 2525C BATTLE FIELD CODE,,분류어,생략
2525C전투임무코드,MS2525CCMSCD,MILITARY STANDARD 2525C COMBAT MISSION CODE,,분류어,생략
2525C피아식별코드,MS2525CIFFCD,MILITARY STANDARD 2525C IDENTIFICATION FRIEND OR FOE CODE,,분류어,생략
2군,SROKAR,THE SECOND REPUBLIC OF KOREA ARMY AREA,,,생략
2군수지원사령부,LSCMD2,2 LOGISTICS SUPPORT COMMAND,,,생략
2군수지원여단,LSBRGD2,2 LOGISTICS SUPPORT BRIGADE,,,생략
2급,CLS2,SECOND CLASS,,,생략
2년,YY2,2 YEAR,,,생략
2년도,YEAR2,2 YEAR,,,생략
2년차,ORDYR2,SECOND ORDER BY YEAR,,,생략
